IMSI659050000000111,IMSI659050000000111,b506b52add58f063352d92de30f20188,f01c702c351587b0e866337f38b13702,ACTIVE,default,default
IMSI659050000000112,IMSI659050000000112,37d33213a70b7e37330dcfbab4225131,1003b81b15cb57f70e6e3df222cf7591,ACTIVE,default,default
IMSI659050000000113,IMSI659050000000113,40a644d320322013e10371113d3e1190,79911207ef8a12322d850e3755b35361,ACTIVE,default,default
IMSI659050000000114,IMSI659050000000114,1214613c2ffe031fbdbe57b00cb0022e,8e191b8b3a1cd5019f81255c039ca3c7,ACTIVE,default,default
IMSI659050000000115,IMSI659050000000115,6c85dd202f6106a21b11062670cbae31,014209130d11bbb913fd4d012f904a47,ACTIVE,default,default
IMSI659050000000116,IMSI659050000000116,223cd0af54e24ca93bb303372d02373a,6d3e6663b297837cb1b5748d45d51077,ACTIVE,default,default
IMSI659050000000117,IMSI659050000000117,022f05533f0d182612eabee70bb3dad8,dffbd1e6b00da216290b2aa97b009ff2,ACTIVE,default,default
IMSI659050000000118,IMSI659050000000118,0a8e912eb23aeb32281b51cb11f261f1,d8a2c3395a5ab2a35811a2961bd37ce3,ACTIVE,default,default
IMSI659050000000119,IMSI659050000000119,1f04d36701ec4e3ccd0027eb7bfbd602,8069e84740860ee5ff19e16952e7ef19,ACTIVE,default,default
IMSI659050000000120,IMSI659050000000120,24c3e4ca02f75d2e59a23c5df91c443d,20f1d50f335d04cdb8954921188d2340,ACTIVE,default,default
